scenario	pph4_full	pph4_trunc	n_kept
distinct	1.10569689015204e-05	0.0430218523159004	15
distinct	1.54131864948973e-05	0.759521537506414	15
distinct	0.0875211773633499	0.661572015204631	15
distinct	1.40815509429856e-05	1.40884017983774e-05	23
distinct	0.00155113130597727	0.00155184569918546	27
distinct	3.33777346556552e-05	3.33777376071011e-05	24
distinct	0.0162874898545835	0.863726363807781	12
distinct	0.00887498199626056	0.357377325391603	10
distinct	0.00194472191568362	0.89783138645528	15
distinct	7.53876297364993e-07	0.461656626856706	15
distinct	6.66395367995782e-07	6.66469355309843e-07	23
distinct	0.000151636738107618	0.564696920606269	15
distinct	0.0238644182054466	0.0284035653066324	21
distinct	0.0184893535938752	0.0363046306160676	17
distinct	0.000398893199854617	0.000398974843252503	23
distinct	0.460998823643221	0.534889658906741	14
distinct	0.00631719139927293	0.00631719181761197	23
distinct	0.000410387053218011	0.00524269342979756	15
distinct	0.0024168442233921	0.238313338914742	7
distinct	5.995450231999e-07	0.069200798115953	15
distinct	1.06609703851151e-08	3.66653998784388e-07	16
distinct	0.00133355005541054	0.0196639524068276	15
distinct	0.133929195021958	0.133929726836606	23
distinct	0.254443992208836	0.29804227494939	21
distinct	0.000270027632877762	0.873995328177412	15
distinct	0.44171440226315	0.777318374478073	15
distinct	1.03004441821583e-07	0.0407892868093974	15
distinct	2.53975240198707e-05	2.53980435793883e-05	23
distinct	0.0266834959256963	0.189293887615964	15
distinct	0.000796548524874522	0.661637140253919	16
distinct	7.100185356553e-08	0.101396759688572	15
distinct	0.000186566927374066	0.79425577018137	18
distinct	0.000281005851405727	0.00704217470618179	17
distinct	1.26214591508375e-05	0.0755421101364894	16
distinct	1.85349845197033e-06	0.683638067130613	17
distinct	2.84269569818005e-05	0.213228217526205	15
distinct	1.58494975132345e-06	1.82182811485569e-06	22
distinct	0.000142389870492962	0.184304111229214	12
distinct	0.0325189803923828	0.0361913575944987	15
distinct	1.0575792357396e-09	0.752716036899042	15
distinct	0.000190911750380537	0.931628283054544	15
distinct	4.85326050570092e-05	5.54126654110192e-05	21
distinct	0.015367732189877	0.85589672043724	15
distinct	4.61453873577184e-07	1.37068968646737e-05	16
distinct	0.00246464805481697	0.908951857639115	8
distinct	0.000488446067545712	0.000488446310013006	23
distinct	0.00477603926758729	0.0186466339241503	16
distinct	0.0395060477367972	0.0514659453552538	6
distinct	0.0124283473350275	0.970386521979224	15
distinct	0.00101426165518949	0.264464204877255	7
distinct	0.854285966756768	0.901618611583347	13
distinct	0.148987503745022	0.218979830499749	15
distinct	2.38633650344546e-05	0.0150482627550606	10
distinct	0.00126923164809776	0.0771257936865064	15
distinct	0.0094589044677139	0.00948614212043649	23
distinct	0.000384771364765064	0.00914341056698386	15
distinct	0.0119293712708669	0.415782574639356	6
distinct	0.982749486656508	0.984154577461768	16
distinct	0.00516345641183326	0.00539304594103321	22
distinct	0.00918733309815526	0.0442060753581665	15
distinct	4.16544123170903e-09	6.43223085316667e-09	21
distinct	4.74933929245164e-05	0.0974461901487539	14
distinct	0.000108733785505194	0.000181614039887187	18
